epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4593,1.57115,3.57751,1.19535,0.00334,0.54771,0.15052,0.08806,1.42023,3.65343,1.0576,0.00046641,0.00046641,0.00046641
2,18.9619,1.53535,2.81045,1.19638,0.70827,0.15348,0.25859,0.12428,1.68219,3.16061,1.26609,0.00093341,0.00093341,0.00093341
3,27.3401,1.62866,2.5903,1.23483,0.47958,0.51156,0.45775,0.24676,1.69049,2.23958,1.31651,0.00139098,0.00139098,0.00139098
4,35.7177,1.59616,2.38294,1.29871,0.51623,0.38538,0.40837,0.21743,1.62088,2.17766,1.28957,0.00138656,0.00138656,0.00138656
5,44.2489,1.57912,2.15541,1.25902,0.47017,0.43995,0.49651,0.26309,1.5941,2.64006,1.27478,0.00137241,0.00137241,0.00137241
6,52.8575,1.56142,1.9848,1.24513,0.52798,0.43217,0.44323,0.23844,1.65036,2.22408,1.29603,0.00135826,0.00135826,0.00135826
7,61.4891,1.5513,1.85044,1.26648,0.59861,0.54782,0.53699,0.28954,1.55318,2.01966,1.29435,0.00134412,0.00134412,0.00134412
8,70.1282,1.54185,1.73478,1.23957,0.65861,0.5677,0.61299,0.34626,1.48009,1.76651,1.18059,0.00132997,0.00132997,0.00132997
9,79.0085,1.48957,1.63946,1.21412,0.58489,0.51568,0.53945,0.30768,1.55229,1.94189,1.20247,0.00131582,0.00131582,0.00131582
10,87.8763,1.47259,1.56204,1.20067,0.63642,0.57585,0.59436,0.34016,1.49919,1.63253,1.16875,0.00130168,0.00130168,0.00130168
11,96.8388,1.45042,1.47281,1.18346,0.63492,0.60922,0.62726,0.36441,1.44791,1.59384,1.1776,0.00128753,0.00128753,0.00128753
12,106.198,1.44649,1.44475,1.17204,0.64812,0.57507,0.63161,0.3564,1.52693,1.46708,1.17291,0.00127338,0.00127338,0.00127338
13,115.832,1.45539,1.44003,1.16351,0.59985,0.52685,0.54542,0.30561,1.53283,1.66734,1.17253,0.00125923,0.00125923,0.00125923
14,125.315,1.4496,1.34852,1.18743,0.6771,0.59619,0.63182,0.35834,1.47527,1.48738,1.16366,0.00124509,0.00124509,0.00124509
15,135.249,1.39633,1.34377,1.16306,0.65067,0.61141,0.63969,0.37351,1.48999,1.72009,1.17571,0.00123094,0.00123094,0.00123094
16,145.068,1.38221,1.30369,1.14591,0.68072,0.52748,0.62253,0.37377,1.40698,1.53294,1.14912,0.00121679,0.00121679,0.00121679
17,154.599,1.34966,1.25495,1.129,0.56734,0.56483,0.58358,0.32896,1.4235,1.64315,1.14388,0.00120265,0.00120265,0.00120265
18,164.442,1.36517,1.21092,1.12905,0.76353,0.60176,0.6855,0.38022,1.45924,1.39492,1.15755,0.0011885,0.0011885,0.0011885
19,174.336,1.36559,1.19474,1.1354,0.68369,0.64681,0.68423,0.4052,1.47625,1.39143,1.17036,0.00117435,0.00117435,0.00117435
20,184.362,1.35348,1.16647,1.12618,0.6909,0.62284,0.68168,0.38428,1.4566,1.4494,1.13132,0.00116021,0.00116021,0.00116021
21,194.337,1.35892,1.16126,1.14086,0.68739,0.59105,0.66119,0.39371,1.43322,1.43422,1.17138,0.00114606,0.00114606,0.00114606
22,204.487,1.35874,1.13855,1.15396,0.74134,0.6355,0.67875,0.41701,1.45629,1.29894,1.13719,0.00113191,0.00113191,0.00113191
23,214.422,1.32696,1.14345,1.1261,0.65023,0.68404,0.6711,0.39336,1.42136,1.37249,1.14385,0.00111776,0.00111776,0.00111776
24,224.843,1.34845,1.15438,1.14047,0.80368,0.59021,0.68638,0.42807,1.37324,1.31665,1.11137,0.00110362,0.00110362,0.00110362
25,235.204,1.31209,1.1237,1.11418,0.75439,0.64576,0.71722,0.40082,1.53526,1.28425,1.15447,0.00108947,0.00108947,0.00108947
